horn,rad,smooth_window_near_dipole_min,smooth_window_near_dipole_max,smooth_window_length,fast_variations_window_length,slow_var_percentile,fast_variations_percentile,dipole_range_min_value,dipole_range_max_value
18,0,1800,400,150,300,0.995,0.95,0.003,0.0035
18,1,1800,400,150,300,0.995,0.95,0.003,0.0035
19,0,1800,400,150,300,0.995,0.95,0.003,0.0035
19,1,1800,400,150,300,0.995,0.95,0.003,0.0035
20,0,1800,400,150,300,0.995,0.95,0.003,0.0035
20,1,1800,400,150,300,0.995,0.95,0.003,0.0035
21,0,1800,400,150,300,0.995,0.95,0.003,0.0035
21,1,1800,400,150,300,0.995,0.95,0.003,0.0035
22,0,1800,400,150,300,0.995,0.95,0.003,0.0035
22,1,1800,400,150,300,0.995,0.95,0.003,0.0035
23,0,1800,400,150,300,0.995,0.95,0.003,0.0035
23,1,1800,400,150,300,0.995,0.95,0.003,0.0035
24,0,1500,300,200,300,0.999,0.95,0.0015,0.003
24,1,1500,300,200,300,0.999,0.95,0.0015,0.003
25,0,1500,300,200,300,0.999,0.95,0.0015,0.003
25,1,1500,300,200,300,0.999,0.95,0.0015,0.003
26,0,1500,300,200,300,0.999,0.95,0.0015,0.003
26,1,1500,300,200,300,0.999,0.95,0.0015,0.003
27,0,1200,400,300,300,0.99,0.95,0.0034,0.004
27,1,1200,400,300,300,0.99,0.95,0.0034,0.004
28,0,1200,400,300,300,0.99,0.95,0.0034,0.004
28,1,1200,400,300,300,0.99,0.95,0.0034,0.004
